customer_id,customer_age,monthly_recharge,call_minutes,sms_count,support_calls,internet_speed_mbps,roaming_usage_gb,tenure_months,device_type,plan_type,network_type,region,payment_method,monthly_data_usage
24,27.0,2493.0,389.0,310,6,40,12.826458897036474,94,Android,Prepaid,5G,South,Cash,58.51324784843105
25,22.0,2343.0,1640.0,93,0,10,10.785701607472879,108,Android,Prepaid,5G,East,Cash,67.7441235952632
26,35.0,233.0,316.0,17,1,10,13.930917478398616,18,Android,Postpaid,3G,North,Cash,21.282422740671056
27,60.0,1307.0,291.0,288,13,100,0.46085271802174255,8,Android,Postpaid,3G,East,Cash,53.35058415879129
28,21.0,325.0,1351.0,542,11,10,11.852472183292003,119,Other,Prepaid,3G,East,Cash,22.76580829474186
29,40.0,321.0,544.0,512,10,200,8.007816267276661,76,,Prepaid,5G,North,Card,47.919468397362415
30,69.0,881.0,1213.0,575,1,10,14.153409865204301,118,Other,Postpaid,4G,North,Cash,28.861258911233968
31,64.0,2387.0,374.0,510,9,100,11.32842354500358,88,Other,Postpaid,5G,East,UPI,54.46997276561192
32,16.0,1618.0,1977.0,242,2,200,7.760643537555961,95,,Postpaid,4G,,Card,79.55121830708013
33,50.0,2452.0,1206.0,619,0,10,9.811004994214532,97,Other,Prepaid,5G,East,UPI,59.676355826938
34,25.0,2187.0,1615.0,571,5,100,14.437742136870662,32,iOS,Prepaid,5G,North,UPI,84.85083277310775
35,30.0,1428.0,1487.0,279,7,20,1.2992156335397627,107,Android,Postpaid,5G,South,UPI,47.54604346265987
36,54.0,2250.0,1215.0,336,3,10,3.075071159200555,7,iOS,Prepaid,3G,South,UPI,53.917049087215666
37,20.0,1665.0,957.0,178,9,40,6.204749366931129,37,Other,Postpaid,3G,West,UPI,52.7845790500249
38,62.0,780.0,1834.0,99,8,40,4.57462412972839,105,Other,Prepaid,5G,North,Card,54.139278325703955
39,25.0,1756.0,309.0,186,11,200,8.355899445392104,117,Android,Prepaid,5G,West,UPI,76.69046590866688
40,39.0,2031.0,857.0,639,1,10,9.020362897961427,108,Other,Prepaid,3G,East,Card,53.84632884882357
41,51.0,,1286.0,71,0,200,10.172740856139532,41,Android,Prepaid,3G,West,Card,65.45929223677439
42,19.0,2189.0,1646.0,281,11,10,0.14654675038447418,20,Android,Prepaid,3G,,Cash,31.753489188824148
43,24.0,1733.0,683.0,349,7,20,13.001773405644908,96,iOS,Prepaid,5G,North,UPI,53.831921291521304
44,35.0,2416.0,1047.0,267,12,10,2.8687853845027034,40,Android,Prepaid,3G,South,Card,45.196875342499425
45,64.0,2067.0,747.0,614,6,10,1.3173256163388287,19,Other,Postpaid,4G,East,UPI,25.68215173305436
46,17.0,1247.0,1045.0,404,3,10,12.155526325011547,86,Other,Prepaid,4G,East,Card,14.016235071266557
47,16.0,1690.0,744.0,654,12,40,3.3328408911081775,83,iOS,Postpaid,5G,North,UPI,41.93772934772697
48,32.0,1873.0,291.0,175,6,200,4.078783787503888,22,iOS,Postpaid,4G,South,Cash,52.886757667539136
49,47.0,253.0,102.0,430,14,10,4.769191214536145,78,Other,Prepaid,5G,South,Card,1.4420704299148426
50,,309.0,457.0,636,2,100,3.3841915207494115,111,Other,Postpaid,3G,West,Cash,17.250413175881853
51,60.0,2196.0,365.0,23,1,40,10.286319413466373,32,iOS,Postpaid,4G,East,Cash,52.84477120740922
52,44.0,321.0,301.0,258,3,10,2.685252664459372,25,iOS,Postpaid,5G,South,UPI,27.78164011728012
53,23.0,,1294.0,408,2,200,13.078398367313385,90,iOS,Prepaid,5G,North,Cash,79.64787294939369
54,39.0,708.0,1864.0,340,10,40,8.221336502693644,98,iOS,Postpaid,4G,West,Card,31.097264369153113
55,26.0,1120.0,1639.0,649,3,100,11.575302902598233,19,Android,Prepaid,3G,East,Card,54.125079741870735
56,57.0,1706.0,1552.0,226,12,10,13.655312819349176,97,iOS,Postpaid,3G,East,Card,19.33674930719869
57,51.0,2013.0,1852.0,626,12,40,13.676556656722891,79,iOS,Prepaid,3G,West,Cash,59.85157689065166
58,16.0,1248.0,191.0,24,3,40,9.158710861315793,75,iOS,Postpaid,5G,East,Card,36.21672573472918
59,23.0,308.0,886.0,192,11,20,10.601190112268153,90,Other,Postpaid,5G,West,UPI,36.12021675490265
60,39.0,2332.0,1352.0,386,12,20,3.848027881681153,104,Other,Postpaid,4G,,Card,60.15360663881421
61,44.0,1457.0,1500.0,458,10,20,5.048737652925862,88,iOS,Prepaid,5G,South,Card,29.704290374404188
62,48.0,2178.0,53.0,371,14,10,7.485592410870779,70,Other,Prepaid,3G,West,Cash,47.008879772505196
63,37.0,309.0,1070.0,337,12,20,5.157394355983693,96,,Postpaid,3G,North,UPI,20.25750240116854
64,52.0,1989.0,295.0,14,7,10,7.253539672471462,2,iOS,Postpaid,5G,West,Cash,64.23413882834498
65,51.0,727.0,1484.0,130,4,40,6.697984779650328,85,iOS,Prepaid,5G,North,Cash,63.76986043709834
66,49.0,1572.0,1296.0,605,12,100,7.1113630155854395,24,Other,Postpaid,4G,South,Card,75.44720119574497
67,19.0,2231.0,765.0,196,13,200,6.076869909410704,14,Other,Prepaid,5G,North,Card,86.93925521761233
68,43.0,,685.0,408,13,20,3.065848798200799,2,Android,Prepaid,3G,East,Card,4.39201627710726
69,49.0,2188.0,1033.0,591,6,100,10.635141719582926,111,Other,Prepaid,3G,East,Cash,63.250323421386334
70,35.0,2085.0,1162.0,271,0,100,3.3672692733114875,44,Android,Prepaid,5G,North,UPI,66.5206740495593
71,43.0,1950.0,253.0,570,4,10,2.5944335038117066,4,Other,Prepaid,4G,North,Cash,31.91436813508763
72,20.0,657.0,1359.0,516,8,200,3.4237968463534223,96,,Postpaid,4G,North,Card,74.25088529126819
73,35.0,,122.0,306,13,100,8.074768159928592,87,Android,Prepaid,3G,South,UPI,63.738352399214975
74,49.0,1205.0,1049.0,408,0,10,0.4492551675464562,96,Android,Postpaid,5G,East,UPI,46.76871024335591
75,46.0,877.0,677.0,431,10,100,9.899299912619261,45,Other,Prepaid,3G,South,UPI,5.779070718055976
76,53.0,893.0,1890.0,105,11,100,4.563933506961747,104,iOS,Prepaid,3G,South,Card,46.491017206229614
77,25.0,2437.0,269.0,448,11,100,4.422059308519127,83,Android,Prepaid,4G,South,Card,62.87005715920975
78,45.0,733.0,901.0,461,7,10,9.908936449378874,59,Android,Prepaid,4G,West,Cash,36.93090577630625
79,33.0,356.0,299.0,291,14,40,11.669104112365847,70,iOS,Prepaid,4G,,Card,19.85934973573695
80,47.0,1600.0,1070.0,419,8,200,2.015648088484821,38,Other,Prepaid,5G,East,UPI,67.09920508690554
81,18.0,1260.0,1786.0,455,12,10,9.767281366193114,77,Other,Prepaid,3G,South,Cash,30.728882832398625
82,35.0,1249.0,1309.0,293,7,40,0.2133630873036696,117,iOS,Postpaid,3G,North,Card,37.345048143633306
83,66.0,1492.0,,134,12,40,14.891180832187407,12,iOS,Postpaid,3G,East,Card,56.915845679494396
84,34.0,1728.0,1275.0,240,14,200,3.161870685006756,68,iOS,Prepaid,5G,East,UPI,73.84801287697334
85,37.0,1860.0,19.0,587,0,200,6.209982056620495,13,Other,Prepaid,5G,South,Card,84.90799737070468
86,19.0,747.0,,414,1,10,6.646003405747155,91,iOS,Postpaid,3G,South,UPI,31.886309887578303
87,27.0,2280.0,434.0,484,14,10,4.582410781125931,8,iOS,Prepaid,4G,West,Cash,25.703910822683685
88,63.0,1705.0,1771.0,375,12,10,12.701420957097705,115,Android,Prepaid,5G,West,UPI,55.7156012085393
89,32.0,659.0,678.0,92,10,40,14.907316717377766,8,iOS,Prepaid,3G,East,Cash,21.110638663448352
90,28.0,841.0,916.0,485,2,40,2.556558977219811,97,Android,Postpaid,4G,South,Card,8.637035181168109
91,45.0,1442.0,674.0,298,14,100,1.7538580802949955,11,Android,Postpaid,3G,East,Cash,37.88183872784429
92,59.0,1429.0,,329,8,10,3.602066520788114,91,iOS,Prepaid,3G,South,Card,29.348170564143842
93,57.0,965.0,,429,3,40,5.530181442590331,20,Android,Prepaid,4G,West,Card,18.505983475811
94,25.0,1001.0,1073.0,379,1,20,0.004482146327860481,83,Android,Postpaid,4G,,Cash,17.991972756505433
95,28.0,572.0,859.0,323,0,40,5.513472836489601,68,Android,Postpaid,5G,East,Card,43.9876532684771
96,19.0,161.0,575.0,308,8,10,8.606435398870298,118,Other,Postpaid,3G,North,Cash,9.155078011747154
97,,,1815.0,668,13,100,2.7804346719573365,39,iOS,Prepaid,4G,North,Card,55.863985172270105
98,30.0,2484.0,1233.0,26,14,20,4.126203874071602,15,Android,Prepaid,3G,East,Card,67.89356449821402
99,36.0,1692.0,344.0,237,2,100,6.410690723442586,104,Other,Prepaid,3G,North,Cash,11.535724480262111
100,69.0,432.0,170.0,611,0,200,6.654200573175988,70,Other,Postpaid,3G,South,Cash,44.361738929929736
101,31.0,1082.0,270.0,89,8,200,8.42206720775382,44,,Prepaid,5G,South,Cash,81.65299125855947
102,51.0,2215.0,1864.0,227,2,10,1.9597358261815718,3,,Prepaid,4G,East,UPI,42.19443900047792
103,64.0,1256.0,1768.0,223,10,100,8.23687523740449,74,Android,Postpaid,3G,North,Cash,56.02205728597128
104,20.0,,806.0,505,0,10,10.389704504131416,93,Other,Postpaid,3G,North,UPI,28.152530496267865
105,59.0,856.0,1805.0,694,11,40,14.993834138356048,8,Android,Prepaid,4G,South,UPI,39.34662291027712
106,24.0,1130.0,706.0,405,10,10,7.5013084097743254,80,Android,Postpaid,4G,South,Cash,15.604421733636293
107,42.0,1939.0,135.0,564,14,20,14.341591920501044,69,iOS,Prepaid,5G,South,Card,59.076036450628465
108,59.0,969.0,722.0,132,4,200,6.61743541217159,33,iOS,Prepaid,4G,South,UPI,70.27851618804522
109,63.0,2200.0,1395.0,426,4,10,13.405885350414636,2,Other,Postpaid,3G,East,Cash,28.517025344240032
110,39.0,1810.0,1667.0,101,13,10,10.88000953720437,28,iOS,Prepaid,4G,,Card,362.2479331727517
111,29.0,1967.0,1452.0,547,1,20,5.459785104019982,89,iOS,Postpaid,5G,North,Card,41.06394768201109
112,66.0,1634.0,577.0,670,10,200,0.8462182698427401,44,Android,Prepaid,3G,East,Card,59.36039981541792
113,55.0,222.0,,596,13,200,4.443777244089731,73,Android,Prepaid,4G,North,Card,38.17360208858152
114,19.0,609.0,1777.0,291,6,40,1.4239877805438046,84,,Prepaid,3G,,Cash,4.450744767318216
115,45.0,1779.0,1959.0,15,4,20,5.794986839505552,50,Other,Postpaid,3G,South,UPI,41.91082649430953
116,28.0,1745.0,247.0,198,9,40,11.30562966641109,26,,Prepaid,5G,East,Cash,50.28885613681563
117,28.0,1359.0,1958.0,93,12,200,8.161653031780155,110,Android,Prepaid,4G,South,Card,66.4510550005056
118,31.0,,1016.0,112,3,10,8.198707907166918,62,Android,Prepaid,5G,East,Card,52.685176229015084
119,45.0,691.0,1864.0,33,2,100,11.912254139918167,23,,Prepaid,5G,West,Cash,33.24979499349237
120,24.0,1445.0,1797.0,186,11,20,12.20371146827332,76,Android,Prepaid,4G,North,Card,41.78936054311312
121,54.0,1605.0,755.0,451,4,10,11.487922875866811,109,Other,Prepaid,5G,East,UPI,47.375894436087805
122,69.0,1629.0,579.0,234,8,20,11.080001492792672,14,Other,Prepaid,5G,North,UPI,45.28828976497147
123,22.0,2305.0,945.0,684,4,200,5.709542691502356,35,Android,Prepaid,5G,East,UPI,101.0330043375535
124,37.0,1022.0,750.0,202,13,20,4.466656957735683,84,iOS,Postpaid,3G,,Card,30.14442087214463
125,60.0,2431.0,50.0,644,6,200,7.784374544927938,3,Android,Prepaid,5G,North,Card,86.0354337352446
126,43.0,2067.0,620.0,638,10,200,2.7467387588594105,3,Android,Prepaid,4G,South,Card,73.51826460141112
127,23.0,1586.0,1779.0,611,0,40,1.034846703381009,8,Other,Postpaid,4G,East,Card,41.85718244708919
128,33.0,1255.0,1191.0,458,0,200,2.7151694546686196,57,Android,Prepaid,4G,South,UPI,57.197606492285914
129,58.0,2303.0,1604.0,111,4,100,10.131092587030269,9,Android,Prepaid,5G,West,Cash,81.62019376726984
130,63.0,346.0,,7,12,10,13.82967508061544,13,Android,Postpaid,5G,West,Cash,35.457762870476685
131,,2335.0,1139.0,170,4,20,9.883729670877337,39,Android,Prepaid,3G,East,Cash,65.97350038832435
132,52.0,1996.0,,1,14,200,10.796525188009461,67,Android,Postpaid,4G,North,UPI,75.51104649832762
133,68.0,1072.0,407.0,430,7,100,1.1508358486083785,41,Android,Prepaid,4G,East,UPI,48.89657765545482
134,57.0,180.0,119.0,497,11,100,5.285727276898847,79,Android,Prepaid,5G,East,Card,42.767857622443465
135,57.0,1067.0,946.0,608,11,100,9.441364845333888,28,Android,Prepaid,5G,South,Card,50.079287983132744
136,45.0,2132.0,528.0,181,1,100,7.214762498016611,27,Android,Postpaid,5G,East,Card,77.8621550734839
137,42.0,2475.0,0.0,696,11,200,4.674482931868835,113,Android,Prepaid,5G,East,Cash,66.60011865825892
138,,2225.0,320.0,121,10,20,13.999776285988766,107,Android,Postpaid,3G,East,UPI,36.596770788748486
139,38.0,943.0,1173.0,635,13,200,3.55890527170018,87,Other,Prepaid,4G,North,Card,62.41360489606319
140,50.0,350.0,253.0,343,13,40,10.158494444888554,50,iOS,Postpaid,3G,North,UPI,18.902918471460953
141,28.0,912.0,1560.0,134,1,10,7.077152950522664,19,Other,Postpaid,5G,West,Card,20.019975732881047
142,22.0,2413.0,626.0,576,9,10,14.514075348669293,31,Android,Postpaid,4G,South,UPI,47.651756449597116
143,56.0,1766.0,1940.0,596,5,100,0.029403014071635036,117,iOS,Postpaid,5G,West,Card,91.30903362005353
144,50.0,1989.0,26.0,611,12,40,10.03828487089037,16,Other,Postpaid,5G,North,Card,54.84221718687316
145,58.0,1704.0,338.0,90,10,10,12.695608455558927,49,Other,Postpaid,3G,West,UPI,146.9890874933788
146,62.0,1382.0,1478.0,465,7,100,11.647896004285808,75,iOS,Prepaid,5G,North,UPI,65.47599973850082
147,68.0,578.0,1571.0,260,1,20,0.47289209010145106,91,Other,Postpaid,3G,South,UPI,11.18948940517133
148,65.0,2108.0,,248,10,10,4.815383860527404,31,iOS,Postpaid,5G,East,Card,43.712420229970405
149,45.0,422.0,1603.0,349,13,10,7.259587178853156,42,iOS,Prepaid,5G,North,Cash,28.703796511046768
150,54.0,2092.0,1287.0,294,7,200,6.272922318144348,116,iOS,Postpaid,4G,North,UPI,87.66213458000972
151,58.0,806.0,981.0,106,2,10,3.287953497781505,89,iOS,Postpaid,4G,East,Cash,25.13206402699551
152,33.0,252.0,1928.0,52,6,100,0.6250812700402453,4,Other,Postpaid,3G,West,Card,48.89726404377399
153,21.0,316.0,277.0,323,14,200,8.850757582569738,117,Android,Postpaid,5G,South,Cash,54.449033965115284
154,31.0,917.0,18.0,127,4,20,14.323614519986947,30,Other,Prepaid,3G,North,Cash,0.046056351874035784
155,65.0,786.0,197.0,262,3,40,7.768714446391551,14,,Postpaid,4G,West,UPI,20.28949856539046
156,28.0,792.0,429.0,611,6,100,4.259280610994,27,Android,Postpaid,5G,West,UPI,69.27176613214667
157,57.0,222.0,83.0,507,11,20,2.469024723773053,112,Other,Prepaid,3G,South,Cash,2.2036030063527177
158,56.0,1838.0,1781.0,269,5,200,14.184648306852432,16,iOS,Postpaid,3G,South,Card,88.09588148860453
159,44.0,2347.0,88.0,551,12,200,13.360987998912023,55,iOS,Postpaid,5G,North,UPI,88.63933045691887
160,63.0,226.0,497.0,411,0,10,1.2609998351705043,112,Other,Postpaid,5G,East,Cash,23.265561336362286
161,53.0,,40.0,149,5,100,12.360693099742164,44,Other,Postpaid,5G,North,Cash,72.55020966465575
162,25.0,393.0,204.0,482,2,200,10.50985311043695,106,iOS,Prepaid,5G,North,Card,47.55922299253206
163,39.0,1935.0,912.0,34,14,100,4.647408561895618,88,Android,Postpaid,5G,East,Cash,68.23198241316129
164,37.0,2329.0,463.0,626,3,20,8.034780579020063,4,Other,Postpaid,3G,,Cash,43.0315852144063
165,20.0,1299.0,76.0,23,4,10,5.265045104223851,43,iOS,Prepaid,5G,East,Cash,38.78262240917536
166,43.0,,1788.0,25,12,40,5.437848746532684,62,Android,Postpaid,5G,South,Cash,55.24760048841355
167,28.0,771.0,1762.0,525,3,100,8.154035538836332,15,Android,Postpaid,5G,West,Cash,77.49195349156457
168,57.0,1407.0,1159.0,268,1,200,12.16554819412519,22,iOS,Prepaid,5G,East,Card,57.75191206093645
169,27.0,828.0,1652.0,645,9,100,4.757744706428479,75,Android,Prepaid,5G,West,UPI,58.73759186796168
170,22.0,2215.0,1737.0,539,14,20,1.7982227528688322,112,Android,Prepaid,4G,West,UPI,46.73847545279033
171,49.0,,1822.0,603,8,200,13.48231706846612,8,Android,Postpaid,5G,South,Cash,99.47976168626239
172,37.0,122.0,526.0,339,14,100,4.584657717397034,22,Other,Postpaid,3G,East,Card,19.76637837862264
173,37.0,1025.0,555.0,191,8,100,3.1873785365867997,80,iOS,Prepaid,4G,South,UPI,55.14794641036091
174,46.0,397.0,1029.0,424,1,20,12.625138674596505,23,Android,Prepaid,3G,North,Card,20.78229207800927
175,59.0,775.0,1926.0,232,10,200,6.897651588500975,39,iOS,Prepaid,5G,West,UPI,56.76754790271903
176,44.0,509.0,1789.0,532,14,40,12.584550818258858,38,Other,Postpaid,4G,South,UPI,13.795531046384568
177,67.0,1450.0,241.0,437,11,40,14.827382908380427,83,Android,Prepaid,5G,,Cash,53.306693605856545
178,28.0,1961.0,406.0,593,5,20,2.480378104283676,71,Android,Prepaid,3G,West,UPI,36.42839221051172
179,28.0,2081.0,,494,0,100,10.80151981544388,33,Android,Postpaid,4G,South,Cash,47.64237146110179
180,61.0,1979.0,1613.0,442,1,40,5.830965067137152,8,Other,Prepaid,4G,North,UPI,53.35443827716097
181,52.0,1924.0,943.0,648,2,200,5.969178398317244,74,Android,Prepaid,5G,North,UPI,85.607238097519
182,23.0,1294.0,424.0,686,14,20,5.484387949668138,16,Android,Prepaid,5G,North,Card,55.82998457381586
183,37.0,1716.0,1743.0,80,0,20,7.702592278033742,74,Android,Prepaid,3G,North,Card,43.0849289484236
184,57.0,,133.0,463,6,20,11.114681214380711,99,Other,Prepaid,3G,North,Card,10.74282118220613
185,,275.0,164.0,692,4,20,2.3570689506566245,62,iOS,Prepaid,4G,East,Cash,-0.46132709604984434
186,31.0,1507.0,374.0,605,1,100,6.037544621354171,91,Other,Prepaid,5G,South,Card,57.47068404957614
187,59.0,1080.0,1847.0,621,8,200,3.086084139643063,1,iOS,Postpaid,5G,West,Cash,81.92782918359059
188,34.0,404.0,537.0,136,7,200,2.1345183849052014,73,Android,Postpaid,5G,North,Card,59.848204842394566
189,44.0,1462.0,535.0,42,3,200,1.007483716362219,20,Android,Prepaid,4G,West,Cash,44.78708030181187
190,32.0,434.0,78.0,386,13,20,13.809822135585245,69,Other,Postpaid,5G,West,Card,12.728812068933426
191,21.0,2142.0,1405.0,689,7,100,5.289715072196498,68,iOS,Postpaid,4G,North,Cash,53.84852602418917
192,51.0,223.0,1221.0,472,12,40,7.364579497839548,118,iOS,Prepaid,3G,North,UPI,2.3525339912371557
193,29.0,717.0,1162.0,196,5,200,3.111905293931208,83,Android,Prepaid,3G,West,Cash,53.926037083198224
194,48.0,2307.0,,409,6,20,6.998230806002063,113,iOS,Prepaid,5G,North,Card,48.87006724425921
195,69.0,1556.0,1623.0,14,9,10,0.07166998923428258,85,Other,Postpaid,4G,North,Cash,42.960743010913674
196,39.0,2386.0,993.0,427,6,40,8.29694129466145,40,Other,Prepaid,3G,South,Cash,47.518045072251965
197,47.0,1156.0,491.0,604,10,100,4.058401304183336,40,Android,Postpaid,4G,East,UPI,28.91624140182321
198,49.0,705.0,1377.0,28,6,10,6.12960739043333,105,Android,Postpaid,4G,West,Card,10.313521266199519
199,61.0,814.0,1848.0,82,4,40,1.7772544049174066,81,Android,Postpaid,5G,West,Cash,32.70415792460098
200,56.0,2072.0,1223.0,634,6,100,10.836972546490438,35,iOS,Prepaid,5G,East,Cash,67.66440824776498
201,68.0,1919.0,1977.0,430,5,40,0.6201611432154747,3,Other,Prepaid,5G,South,UPI,70.42100234908088
202,43.0,1787.0,1110.0,289,0,20,0.7979661094131002,95,Android,Postpaid,3G,,Cash,34.084298287313565
203,30.0,988.0,260.0,177,5,10,13.090790709897277,119,Android,Prepaid,5G,East,Cash,32.56523851841104
204,61.0,1461.0,1476.0,329,14,10,9.787046539199862,15,,Postpaid,3G,North,UPI,46.666757916578995
205,57.0,185.0,1492.0,456,12,20,6.292410107022465,100,Other,Prepaid,5G,West,UPI,28.770413486956905
206,58.0,2314.0,1777.0,470,6,10,10.1837770987003,11,iOS,Postpaid,4G,North,UPI,70.43967670518522
207,48.0,1646.0,1377.0,91,14,40,7.423830575539456,107,Android,Prepaid,4G,West,Card,37.501692309151935
208,,1511.0,1190.0,324,3,200,4.556994706144918,49,Android,Prepaid,5G,South,UPI,95.18667652029146
209,47.0,925.0,1714.0,95,7,200,1.9285106065242545,61,iOS,Postpaid,4G,East,Card,55.77663839213319
210,64.0,155.0,1659.0,414,4,100,6.0253982328937985,39,Android,Prepaid,5G,North,Cash,44.109153456049285
211,54.0,1446.0,576.0,382,3,200,11.701110051305402,72,Android,Postpaid,3G,East,Cash,67.11342005179654
212,34.0,1252.0,879.0,101,4,100,1.7561865953382172,96,Android,Prepaid,3G,West,UPI,33.82934484093285
213,25.0,1429.0,469.0,450,1,40,0.935420745431349,82,,Postpaid,5G,East,Card,69.64471599312407
214,25.0,777.0,1752.0,166,5,40,12.796619246461505,73,Android,Postpaid,4G,West,UPI,34.982740987131216
215,29.0,1736.0,669.0,634,13,100,9.183798162188927,47,Android,Postpaid,5G,West,Card,74.16967340463509
216,37.0,825.0,1.0,462,13,200,2.320022858107656,24,Android,Prepaid,3G,South,Cash,67.92491769116452
217,59.0,699.0,1250.0,490,5,10,4.332169706998647,42,Other,Postpaid,5G,,Card,48.82587708958368
218,17.0,1897.0,879.0,206,13,10,13.009872730611349,116,Android,Prepaid,4G,South,UPI,6.23072325368198
219,47.0,1911.0,741.0,202,1,20,5.332286271211215,10,iOS,Postpaid,5G,West,Cash,60.70568601900601
220,30.0,358.0,71.0,136,6,10,12.471515121152024,113,iOS,Prepaid,4G,West,Cash,51.34901966510981
221,32.0,382.0,209.0,444,2,100,8.850498964847914,22,iOS,Prepaid,4G,North,Card,34.43510949872274
222,64.0,2145.0,96.0,579,10,200,1.8796036639884162,43,iOS,Postpaid,4G,West,Card,88.9708635748807
223,41.0,361.0,1178.0,328,12,40,3.9321372078399515,117,Android,Prepaid,4G,North,UPI,1.49807832770842
224,65.0,,37.0,630,5,10,5.965640418576542,111,Android,Prepaid,4G,West,Cash,23.8265142320708
225,62.0,161.0,1751.0,300,3,200,2.824988715048452,79,iOS,Prepaid,4G,South,Cash,56.16857571623602
226,49.0,1171.0,1418.0,444,12,40,13.525929471024888,80,iOS,Prepaid,5G,North,UPI,48.88927581493527
227,37.0,1656.0,185.0,30,4,200,12.688680241853564,46,iOS,Prepaid,4G,South,UPI,55.68708113688186
228,35.0,1511.0,1392.0,665,3,10,11.926127802136183,22,Other,Prepaid,5G,West,Cash,44.88962827056251
229,34.0,796.0,959.0,308,6,10,14.12592677810426,42,Android,Prepaid,5G,North,Card,53.42800451736254
230,16.0,673.0,1443.0,370,14,10,5.478607541145383,100,iOS,Prepaid,3G,North,Card,28.114763780936627
231,29.0,763.0,805.0,47,4,200,1.259821444786791,87,Other,Postpaid,3G,North,Cash,39.9172240820014
232,26.0,1217.0,1267.0,597,9,100,13.219462538666612,27,iOS,Postpaid,4G,West,Card,33.54091916989791
233,68.0,1171.0,343.0,331,10,40,12.374777040142435,55,Other,Postpaid,4G,West,Cash,32.59853552195368
234,43.0,2031.0,1564.0,10,12,20,4.524882946951654,58,iOS,Prepaid,5G,,Card,37.71757502970841
235,44.0,226.0,1408.0,530,10,10,3.7066742454863895,3,Android,Prepaid,3G,North,Card,19.411724995503015
236,24.0,681.0,1346.0,308,6,40,12.870456862491313,81,Android,Prepaid,3G,,UPI,23.335538774338552
237,49.0,1966.0,1365.0,514,5,200,4.8977036399063545,108,Android,Prepaid,4G,West,UPI,84.58028163803822
238,52.0,1409.0,1887.0,337,1,10,2.151542229994857,26,Android,Prepaid,3G,East,Card,28.669262183334713
239,41.0,1431.0,401.0,579,2,200,4.039282314134091,15,iOS,Postpaid,3G,South,UPI,64.5958785657007
240,60.0,1366.0,1124.0,489,8,200,10.82038996524271,42,iOS,Postpaid,3G,East,UPI,68.83098439271772
241,67.0,1294.0,59.0,117,1,20,9.963959787165583,2,iOS,Prepaid,4G,North,UPI,30.256104562372943
242,58.0,1608.0,344.0,127,0,200,2.846253416953563,34,Android,Prepaid,4G,South,Card,52.512146651264686
243,44.0,1493.0,65.0,307,4,10,2.3118553560868715,97,Android,Prepaid,5G,North,Card,13.797964597987551
